date,oil_bopd,gas_mmscf,downtime_hours,water_cut_pct
2025-11-01,10250,55.2,1.2,24
2025-11-02,10310,55.6,1.0,24
2025-11-03,10480,56.1,0.8,23
2025-11-04,10520,56.4,0.5,23
2025-11-05,10410,55.9,1.6,24
2025-11-06,10350,55.5,2.0,25
2025-11-07,10180,54.7,3.5,26
2025-11-08,10090,54.1,4.2,27
2025-11-09,9920,53.5,5.1,28
2025-11-10,9850,53.0,5.8,29
2025-11-11,10020,54.0,2.4,27
2025-11-12,10200,55.0,1.6,26
2025-11-13,10490,56.3,0.7,24
2025-11-14,10640,57.0,0.4,23
2025-11-15,10720,57.5,0.3,22
2025-11-16,10780,57.9,0.2,22
2025-11-17,10810,58.1,0.2,22
2025-11-18,10850,58.4,0.1,21
2025-11-19,10920,58.8,0.1,21
2025-11-20,10960,59.0,0.0,21

